id_pedido,data_registro,cliente_nome,filial_origem,tipo_veiculo,valor_frete,distancia_km,tempo_estimado_horas,tempo_realizado_horas,status_pedido,motivo_ocorrencia,custo_combustivel
PED-100000,2026-04-13 19:28:00,Cliente 92,Filial Campo Largo,Leve (VUC),0.0,246.7,8.8,,Cancelado,Erro de Carga,2348.7
PED-100001,2026-01-15 10:07:00,Cliente 145,Filial Curitiba - HQ,Pesado (Tratocaminhão),4884.71,1114.4,33.3,30.692847084115353,Entregue,,511.82
PED-100002,2026-01-21 06:57:00,Cliente 147,Filial São Paulo,Pesado (Tratocaminhão),5532.81,218.1,20.8,21.01026661729725,Entregue,,2524.9
PED-100003,2026-03-16 10:23:00,Cliente 118,Filial Campo Largo,Semipesado,0.0,1060.6,44.6,,Cancelado,Cancelado pelo Cliente,908.95
PED-100004,2026-04-27 03:39:00,Cliente 47,Filial Paranaguá,Semipesado,1480.48,491.9,22.8,23.198824097611976,Entregue,,1778.6
PED-100005,2026-06-01 02:21:00,Cliente 103,Filial Paranaguá,Leve (VUC),5512.97,330.4,2.5,3.4679364324710154,Entregue,,1335.04
PED-100006,2026-02-22 01:23:00,Cliente 121,Filial Campo Largo,Leve (VUC),0.0,246.2,23.6,,Cancelado,Avarias no Veículo,1167.7
PED-100007,2026-06-07 05:01:00,Cliente 94,Filial Curitiba - HQ,Leve (VUC),6724.41,610.2,38.4,37.14980088622641,Entregue,,1068.7
PED-100008,2026-01-21 00:11:00,Cliente 145,Filial Curitiba - HQ,Leve (VUC),2683.57,806.4,31.4,31.427535118119607,Entregue,,2595.2
PED-100009,2026-02-27 21:43:00,Cliente 42,Filial São Paulo,Semipesado,797.02,1078.9,46.4,46.491785890649,Entregue,,2353.58
PED-100010,2026-03-30 16:26:00,Cliente 111,Filial São Paulo,Leve (VUC),0.0,786.4,40.6,,Cancelado,Cancelado pelo Cliente,1665.66
PED-100011,2026-02-28 09:27:00,Cliente 29,Filial Paranaguá,Leve (VUC),5289.67,585.6,25.7,37.09921892613173,Atrasado,Endereço Não Encontrado,2060.55
PED-100012,2026-01-15 14:50:00,Cliente 124,Filial Paranaguá,Pesado (Tratocaminhão),4375.14,49.8,10.7,8.289083908963486,Entregue,,2956.68
